address_id,partition,prospective_cluster_count,delta,control_response_lambda,simulator_count,minimum_simulator_probability,maximum_simulator_probability,mean_simulator_probability,between_simulator_spread
03ef63db7584762143dc3914,confirmation,10,0.25,0.5,2,0.427,0.444,0.4355,0.017000000000000015
03ef63db7584762143dc3914,confirmation,10,0.25,1.0,2,0.15,0.18,0.16499999999999998,0.03
03ef63db7584762143dc3914,confirmation,10,0.5,0.0,2,0.776,0.786,0.781,0.010000000000000009
03ef63db7584762143dc3914,confirmation,10,0.5,0.25,2,0.766,0.785,0.7755000000000001,0.019000000000000017
03ef63db7584762143dc3914,confirmation,10,0.5,0.5,2,0.665,0.672,0.6685000000000001,0.007000000000000006
03ef63db7584762143dc3914,confirmation,10,0.5,1.0,2,0.224,0.234,0.229,0.010000000000000009
03ef63db7584762143dc3914,confirmation,10,0.75,0.0,2,0.802,0.817,0.8095,0.014999999999999902
03ef63db7584762143dc3914,confirmation,10,0.75,0.25,2,0.815,0.826,0.8205,0.01100000000000001
03ef63db7584762143dc3914,confirmation,10,0.75,0.5,2,0.753,0.753,0.753,0.0
03ef63db7584762143dc3914,confirmation,10,0.75,1.0,2,0.257,0.264,0.2605,0.007000000000000006
03ef63db7584762143dc3914,confirmation,10,1.0,0.0,2,0.808,0.843,0.8255,0.03499999999999992
03ef63db7584762143dc3914,confirmation,10,1.0,0.25,2,0.805,0.833,0.819,0.027999999999999914
03ef63db7584762143dc3914,confirmation,10,1.0,0.5,2,0.772,0.785,0.7785,0.013000000000000012
03ef63db7584762143dc3914,confirmation,10,1.0,1.0,2,0.241,0.261,0.251,0.020000000000000018
03ef63db7584762143dc3914,confirmation,10,1.5,0.0,2,0.818,0.835,0.8265,0.017000000000000015
03ef63db7584762143dc3914,confirmation,10,1.5,0.25,2,0.827,0.83,0.8285,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,10,1.5,0.5,2,0.797,0.814,0.8055,0.016999999999999904
03ef63db7584762143dc3914,confirmation,10,1.5,1.0,2,0.243,0.253,0.248,0.010000000000000009
03ef63db7584762143dc3914,confirmation,10,2.0,0.0,2,0.813,0.823,0.818,0.010000000000000009
03ef63db7584762143dc3914,confirmation,10,2.0,0.25,2,0.816,0.836,0.826,0.020000000000000018
03ef63db7584762143dc3914,confirmation,10,2.0,0.5,2,0.808,0.816,0.812,0.007999999999999896
03ef63db7584762143dc3914,confirmation,10,2.0,1.0,2,0.225,0.234,0.2295,0.009000000000000008
03ef63db7584762143dc3914,confirmation,12,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,12,0.25,0.0,2,0.659,0.677,0.668,0.018000000000000016
03ef63db7584762143dc3914,confirmation,12,0.25,0.25,2,0.665,0.682,0.6735,0.017000000000000015
03ef63db7584762143dc3914,confirmation,12,0.25,0.5,2,0.552,0.563,0.5575,0.010999999999999899
03ef63db7584762143dc3914,confirmation,12,0.25,1.0,2,0.19,0.206,0.198,0.015999999999999986
03ef63db7584762143dc3914,confirmation,12,0.5,0.0,2,0.895,0.897,0.896,0.0020000000000000018
03ef63db7584762143dc3914,confirmation,12,0.5,0.25,2,0.88,0.902,0.891,0.02200000000000002
03ef63db7584762143dc3914,confirmation,12,0.5,0.5,2,0.761,0.787,0.774,0.026000000000000023
03ef63db7584762143dc3914,confirmation,12,0.5,1.0,2,0.23,0.268,0.249,0.038000000000000006
03ef63db7584762143dc3914,confirmation,12,0.75,0.0,2,0.905,0.917,0.911,0.01200000000000001
03ef63db7584762143dc3914,confirmation,12,0.75,0.25,2,0.918,0.922,0.92,0.0040000000000000036
03ef63db7584762143dc3914,confirmation,12,0.75,0.5,2,0.85,0.863,0.8565,0.013000000000000012
03ef63db7584762143dc3914,confirmation,12,0.75,1.0,2,0.261,0.275,0.268,0.014000000000000012
03ef63db7584762143dc3914,confirmation,12,1.0,0.0,2,0.917,0.932,0.9245000000000001,0.015000000000000013
03ef63db7584762143dc3914,confirmation,12,1.0,0.25,2,0.924,0.93,0.927,0.006000000000000005
03ef63db7584762143dc3914,confirmation,12,1.0,0.5,2,0.892,0.902,0.897,0.010000000000000009
03ef63db7584762143dc3914,confirmation,12,1.0,1.0,2,0.261,0.27,0.2655,0.009000000000000008
03ef63db7584762143dc3914,confirmation,12,1.5,0.0,2,0.927,0.93,0.9285000000000001,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,12,1.5,0.25,2,0.926,0.933,0.9295,0.007000000000000006
03ef63db7584762143dc3914,confirmation,12,1.5,0.5,2,0.912,0.919,0.9155,0.007000000000000006
03ef63db7584762143dc3914,confirmation,12,1.5,1.0,2,0.258,0.267,0.2625,0.009000000000000008
03ef63db7584762143dc3914,confirmation,12,2.0,0.0,2,0.922,0.926,0.924,0.0040000000000000036
03ef63db7584762143dc3914,confirmation,12,2.0,0.25,2,0.919,0.925,0.922,0.006000000000000005
03ef63db7584762143dc3914,confirmation,12,2.0,0.5,2,0.922,0.923,0.9225000000000001,0.0010000000000000009
03ef63db7584762143dc3914,confirmation,12,2.0,1.0,2,0.239,0.242,0.2405,0.0030000000000000027
03ef63db7584762143dc3914,discovery,3,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.25,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.25,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.25,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.25,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.5,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.5,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.5,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.5,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.75,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.75,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.75,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,0.75,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.0,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.0,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.0,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.5,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.5,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.5,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,1.5,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,2.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,2.0,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,2.0,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,3,2.0,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,4,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,4,0.25,0.0,2,0.066,0.067,0.0665,0.0010000000000000009
03ef63db7584762143dc3914,discovery,4,0.25,0.25,2,0.073,0.083,0.078,0.010000000000000009
03ef63db7584762143dc3914,discovery,4,0.25,0.5,2,0.066,0.079,0.07250000000000001,0.012999999999999998
03ef63db7584762143dc3914,discovery,4,0.25,1.0,2,0.032,0.05,0.041,0.018000000000000002
03ef63db7584762143dc3914,discovery,4,0.5,0.0,2,0.204,0.216,0.21,0.01200000000000001
03ef63db7584762143dc3914,discovery,4,0.5,0.25,2,0.198,0.213,0.20550000000000002,0.014999999999999986
03ef63db7584762143dc3914,discovery,4,0.5,0.5,2,0.17,0.178,0.174,0.00799999999999998
03ef63db7584762143dc3914,discovery,4,0.5,1.0,2,0.066,0.087,0.0765,0.02099999999999999
03ef63db7584762143dc3914,discovery,4,0.75,0.0,2,0.263,0.274,0.2685,0.01100000000000001
03ef63db7584762143dc3914,discovery,4,0.75,0.25,2,0.245,0.282,0.26349999999999996,0.03699999999999998
03ef63db7584762143dc3914,discovery,4,0.75,0.5,2,0.25,0.253,0.2515,0.0030000000000000027
03ef63db7584762143dc3914,discovery,4,0.75,1.0,2,0.101,0.114,0.10750000000000001,0.012999999999999998
03ef63db7584762143dc3914,discovery,4,1.0,0.0,2,0.298,0.317,0.3075,0.019000000000000017
03ef63db7584762143dc3914,discovery,4,1.0,0.25,2,0.269,0.298,0.2835,0.02899999999999997
03ef63db7584762143dc3914,discovery,4,1.0,0.5,2,0.259,0.273,0.266,0.014000000000000012
03ef63db7584762143dc3914,discovery,4,1.0,1.0,2,0.099,0.103,0.101,0.00399999999999999
03ef63db7584762143dc3914,discovery,4,1.5,0.0,2,0.304,0.321,0.3125,0.017000000000000015
03ef63db7584762143dc3914,discovery,4,1.5,0.25,2,0.3,0.351,0.3255,0.05099999999999999
03ef63db7584762143dc3914,discovery,4,1.5,0.5,2,0.278,0.282,0.28,0.003999999999999948
03ef63db7584762143dc3914,discovery,4,1.5,1.0,2,0.096,0.101,0.0985,0.0050000000000000044
03ef63db7584762143dc3914,discovery,4,2.0,0.0,2,0.31,0.323,0.3165,0.013000000000000012
03ef63db7584762143dc3914,discovery,4,2.0,0.25,2,0.316,0.324,0.32,0.008000000000000007
03ef63db7584762143dc3914,discovery,4,2.0,0.5,2,0.303,0.309,0.306,0.006000000000000005
03ef63db7584762143dc3914,discovery,4,2.0,1.0,2,0.1,0.101,0.1005,0.0010000000000000009
03ef63db7584762143dc3914,discovery,5,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,5,0.25,0.0,2,0.198,0.206,0.202,0.00799999999999998
03ef63db7584762143dc3914,discovery,5,0.25,0.25,2,0.221,0.229,0.225,0.008000000000000007
03ef63db7584762143dc3914,discovery,5,0.25,0.5,2,0.175,0.179,0.177,0.0040000000000000036
03ef63db7584762143dc3914,discovery,5,0.25,1.0,2,0.079,0.081,0.08,0.0020000000000000018
03ef63db7584762143dc3914,discovery,5,0.5,0.0,2,0.447,0.488,0.4675,0.04099999999999998
03ef63db7584762143dc3914,discovery,5,0.5,0.25,2,0.479,0.481,0.48,0.0020000000000000018
03ef63db7584762143dc3914,discovery,5,0.5,0.5,2,0.419,0.444,0.4315,0.025000000000000022
03ef63db7584762143dc3914,discovery,5,0.5,1.0,2,0.145,0.183,0.16399999999999998,0.038000000000000006
03ef63db7584762143dc3914,discovery,5,0.75,0.0,2,0.562,0.563,0.5625,0.0009999999999998899
03ef63db7584762143dc3914,discovery,5,0.75,0.25,2,0.547,0.585,0.5660000000000001,0.03799999999999992
03ef63db7584762143dc3914,discovery,5,0.75,0.5,2,0.491,0.527,0.509,0.03600000000000003
03ef63db7584762143dc3914,discovery,5,0.75,1.0,2,0.206,0.22,0.213,0.014000000000000012
03ef63db7584762143dc3914,discovery,5,1.0,0.0,2,0.58,0.627,0.6034999999999999,0.04700000000000004
03ef63db7584762143dc3914,discovery,5,1.0,0.25,2,0.573,0.588,0.5805,0.015000000000000013
03ef63db7584762143dc3914,discovery,5,1.0,0.5,2,0.549,0.562,0.5555000000000001,0.013000000000000012
03ef63db7584762143dc3914,discovery,5,1.0,1.0,2,0.194,0.208,0.201,0.013999999999999985
03ef63db7584762143dc3914,discovery,5,1.5,0.0,2,0.621,0.644,0.6325000000000001,0.02300000000000002
03ef63db7584762143dc3914,discovery,5,1.5,0.25,2,0.598,0.661,0.6295,0.06300000000000006
03ef63db7584762143dc3914,discovery,5,1.5,0.5,2,0.589,0.623,0.606,0.03400000000000003
03ef63db7584762143dc3914,discovery,5,1.5,1.0,2,0.213,0.214,0.2135,0.0010000000000000009
03ef63db7584762143dc3914,discovery,5,2.0,0.0,2,0.612,0.647,0.6295,0.03500000000000003
03ef63db7584762143dc3914,discovery,5,2.0,0.25,2,0.623,0.634,0.6285000000000001,0.01100000000000001
03ef63db7584762143dc3914,discovery,5,2.0,0.5,2,0.62,0.634,0.627,0.014000000000000012
03ef63db7584762143dc3914,discovery,5,2.0,1.0,2,0.173,0.194,0.1835,0.02100000000000002
03ef63db7584762143dc3914,discovery,6,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,discovery,6,0.25,0.0,2,0.36,0.382,0.371,0.02200000000000002
03ef63db7584762143dc3914,discovery,6,0.25,0.25,2,0.372,0.374,0.373,0.0020000000000000018
03ef63db7584762143dc3914,discovery,6,0.25,0.5,2,0.309,0.336,0.3225,0.027000000000000024
03ef63db7584762143dc3914,discovery,6,0.25,1.0,2,0.134,0.151,0.14250000000000002,0.016999999999999987
03ef63db7584762143dc3914,discovery,6,0.5,0.0,2,0.662,0.694,0.6779999999999999,0.03199999999999992
03ef63db7584762143dc3914,discovery,6,0.5,0.25,2,0.669,0.69,0.6795,0.020999999999999908
03ef63db7584762143dc3914,discovery,6,0.5,0.5,2,0.601,0.617,0.609,0.016000000000000014
03ef63db7584762143dc3914,discovery,6,0.5,1.0,2,0.215,0.229,0.222,0.014000000000000012
03ef63db7584762143dc3914,discovery,6,0.75,0.0,2,0.773,0.786,0.7795000000000001,0.013000000000000012
03ef63db7584762143dc3914,discovery,6,0.75,0.25,2,0.766,0.794,0.78,0.028000000000000025
03ef63db7584762143dc3914,discovery,6,0.75,0.5,2,0.69,0.712,0.701,0.02200000000000002
03ef63db7584762143dc3914,discovery,6,0.75,1.0,2,0.269,0.272,0.2705,0.0030000000000000027
03ef63db7584762143dc3914,discovery,6,1.0,0.0,2,0.792,0.815,0.8035,0.02299999999999991
03ef63db7584762143dc3914,discovery,6,1.0,0.25,2,0.784,0.796,0.79,0.01200000000000001
03ef63db7584762143dc3914,discovery,6,1.0,0.5,2,0.747,0.772,0.7595000000000001,0.025000000000000022
03ef63db7584762143dc3914,discovery,6,1.0,1.0,2,0.247,0.28,0.2635,0.03300000000000003
