scenario_id,base_scenario_id,prospective_cluster_count,delta,control_response_lambda,replicates,master_seed,engineering_smoke,nested_campaign_prefix,scenario_semantics
CS-6f6ffe6320af5811a60f632a,BS-01bc28268e93dc910e331392,12,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8377fcb238534ad87a59b83e,BS-0b6535c86615bd2ef99704b6,3,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-bc478f02722b968f0c081ded,BS-0b6535c86615bd2ef99704b6,4,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-a36d5459724ec494b2302e0d,BS-0b6535c86615bd2ef99704b6,5,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8ec2fd603fdf1ec2642f19d5,BS-0b6535c86615bd2ef99704b6,6,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-70ea45896a1f2f12f83e4e0d,BS-0b6535c86615bd2ef99704b6,8,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-fe51dda8a4d37b0d613a4d84,BS-0b6535c86615bd2ef99704b6,10,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-62846b4fc774a8630dd1a419,BS-0b6535c86615bd2ef99704b6,12,2.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9bc3cb646a8a5d7a92e9bc41,BS-1986b1f16ffa29a77e2c0050,3,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-a3de0b0c722aae7444ff64a1,BS-1986b1f16ffa29a77e2c0050,4,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-696a2e6d98471ae27fe3f393,BS-1986b1f16ffa29a77e2c0050,5,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-6ecf55a3ac60e265b405627e,BS-1986b1f16ffa29a77e2c0050,6,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7ff4a2a5a5d69960f9c95547,BS-1986b1f16ffa29a77e2c0050,8,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8faa87336de629aa89038d0c,BS-1986b1f16ffa29a77e2c0050,10,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
