partition,simulator_id,prospective_cluster_count,cluster_uncertainty_decision_status,replicate_count,replicate_share
discovery,joint_wild_cluster_rademacher,8,mc_percentile_ambiguous_vector,21000,0.14
discovery,joint_wild_cluster_rademacher,8,exact_direction_failure,4207,0.028046666666666668
discovery,joint_wild_cluster_rademacher,10,exact_insufficient_clusters,81209,0.5413933333333333
discovery,joint_wild_cluster_rademacher,10,exact_positive_certificate,40842,0.27228
discovery,joint_wild_cluster_rademacher,10,mc_percentile_ambiguous_vector,23849,0.15899333333333332
discovery,joint_wild_cluster_rademacher,10,exact_direction_failure,4100,0.027333333333333334
discovery,joint_wild_cluster_rademacher,12,exact_insufficient_clusters,79089,0.52726
discovery,joint_wild_cluster_rademacher,12,exact_positive_certificate,40715,0.27143333333333336
discovery,joint_wild_cluster_rademacher,12,mc_percentile_ambiguous_vector,26237,0.17491333333333334
discovery,joint_wild_cluster_rademacher,12,exact_direction_failure,3959,0.026393333333333335
