entitlement_status,partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,addresses,mean_gate_passage_probability,maximum_gate_passage_probability
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.5,0.5,3,0.25833333333333336,0.735
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.5,1.0,3,0.09666666666666668,0.28
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,2.0,0.0,3,0.285,0.817
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,2.0,0.25,3,0.2806666666666667,0.809
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,2.0,0.5,3,0.256,0.737
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,2.0,1.0,3,0.09700000000000002,0.278
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,3,0.08433333333333333,0.236
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.25,3,0.084,0.23
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.5,3,0.07766666666666668,0.22
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.25,1.0,3,0.059000000000000004,0.165
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.5,0.0,3,0.22099999999999997,0.588
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.5,0.25,3,0.22266666666666665,0.606
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.5,0.5,3,0.21599999999999997,0.588
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.5,1.0,3,0.09966666666666668,0.273
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.75,0.0,3,0.3006666666666667,0.812
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.75,0.25,3,0.30566666666666664,0.837
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.75,0.5,3,0.27899999999999997,0.75
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,0.75,1.0,3,0.11466666666666665,0.307
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.0,0.0,3,0.33866666666666667,0.909
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.0,0.25,3,0.33866666666666667,0.898
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.0,0.5,3,0.31166666666666665,0.829
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.0,1.0,3,0.12533333333333332,0.337
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.5,0.0,3,0.34833333333333333,0.943
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.5,0.25,3,0.35333333333333333,0.948
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.5,0.5,3,0.33866666666666667,0.912
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,1.5,1.0,3,0.12466666666666666,0.344
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,2.0,0.0,3,0.36333333333333334,0.974
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,2.0,0.25,3,0.3626666666666667,0.964
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,2.0,0.5,3,0.3376666666666667,0.919
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,8,2.0,1.0,3,0.10833333333333332,0.288
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,3,0.14833333333333334,0.389
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.25,3,0.15466666666666665,0.421
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.5,3,0.13533333333333333,0.368
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.25,1.0,3,0.08566666666666667,0.23
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.5,0.0,3,0.31933333333333336,0.802
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.5,0.25,3,0.316,0.808
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.5,0.5,3,0.2916666666666667,0.741
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.5,1.0,3,0.124,0.318
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.75,0.0,3,0.38066666666666665,0.938
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.75,0.25,3,0.36366666666666664,0.939
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.75,0.5,3,0.3446666666666667,0.859
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,0.75,1.0,3,0.124,0.32
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.0,0.0,3,0.38833333333333336,0.973
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.0,0.25,3,0.39666666666666667,0.977
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.0,0.5,3,0.373,0.909
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.0,1.0,3,0.13733333333333334,0.344
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.5,0.0,3,0.4066666666666667,0.991
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.5,0.25,3,0.39633333333333337,0.988
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.5,0.5,3,0.38999999999999996,0.955
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,1.5,1.0,3,0.12666666666666668,0.333
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,2.0,0.0,3,0.405,0.997
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,2.0,0.25,3,0.4076666666666667,0.994
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,2.0,0.5,3,0.38466666666666666,0.958
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,10,2.0,1.0,3,0.11433333333333334,0.274
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,3,0.21733333333333335,0.549
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.25,3,0.213,0.562
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.5,3,0.19299999999999998,0.486
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.25,1.0,3,0.09333333333333334,0.245
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.5,0.0,3,0.38633333333333336,0.916
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.5,0.25,3,0.3746666666666667,0.898
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.5,0.5,3,0.35200000000000004,0.822
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.5,1.0,3,0.12266666666666666,0.298
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.75,0.0,3,0.435,0.986
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.75,0.25,3,0.414,0.977
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.75,0.5,3,0.40166666666666667,0.904
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,0.75,1.0,3,0.13366666666666668,0.304
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.0,0.0,3,0.4406666666666667,0.995
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.0,0.25,3,0.43966666666666665,0.996
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.0,0.5,3,0.428,0.944
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.0,1.0,3,0.1396666666666667,0.331
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.5,0.0,3,0.45566666666666666,0.999
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.5,0.25,3,0.4463333333333333,0.996
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.5,0.5,3,0.437,0.967
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,1.5,1.0,3,0.12533333333333332,0.308
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,2.0,0.0,3,0.4483333333333333,1.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,2.0,0.25,3,0.45166666666666666,0.999
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,2.0,0.5,3,0.43966666666666665,0.979
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,12,2.0,1.0,3,0.12000000000000001,0.278
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.25,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.25,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.25,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.25,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.5,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.5,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.5,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.5,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.75,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.75,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.75,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,0.75,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.0,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.0,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.0,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.5,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.5,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.5,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,1.5,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,2.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,2.0,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,2.0,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,3,2.0,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.25,0.0,3,0.0029999999999999996,0.009
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.25,0.25,3,0.0029999999999999996,0.009
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.25,0.5,3,0.0036666666666666666,0.011
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.25,1.0,3,0.0033333333333333335,0.01
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.5,0.0,3,0.023000000000000003,0.068
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.5,0.25,3,0.019,0.056
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.5,0.5,3,0.017666666666666667,0.051
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.5,1.0,3,0.013333333333333334,0.04
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.75,0.0,3,0.041666666666666664,0.121
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.75,0.25,3,0.042333333333333334,0.123
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.75,0.5,3,0.043333333333333335,0.125
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,0.75,1.0,3,0.02366666666666667,0.07
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.0,0.0,3,0.06633333333333334,0.197
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.0,0.25,3,0.054,0.156
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.0,0.5,3,0.061,0.176
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.0,1.0,3,0.036333333333333336,0.105
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.5,0.0,3,0.08733333333333333,0.258
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.5,0.25,3,0.09433333333333334,0.281
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.5,0.5,3,0.085,0.253
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,1.5,1.0,3,0.034999999999999996,0.104
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,2.0,0.0,3,0.09799999999999999,0.289
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,2.0,0.25,3,0.09699999999999999,0.29
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,2.0,0.5,3,0.08600000000000001,0.255
fl3_entitled,confirmation,joint_wild_cluster_rademacher,4,2.0,1.0,3,0.043000000000000003,0.127
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.25,0.0,3,0.011000000000000001,0.03
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.25,0.25,3,0.012333333333333333,0.036
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.25,0.5,3,0.01333333333333333,0.036
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.25,1.0,3,0.014,0.041
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.5,0.0,3,0.07033333333333333,0.207
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.5,0.25,3,0.06066666666666667,0.176
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.5,0.5,3,0.05433333333333334,0.158
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.5,1.0,3,0.046000000000000006,0.136
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.75,0.0,3,0.113,0.328
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.75,0.25,3,0.10666666666666667,0.309
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.75,0.5,3,0.11133333333333334,0.315
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,0.75,1.0,3,0.059666666666666666,0.176
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.0,0.0,3,0.15433333333333335,0.45
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.0,0.25,3,0.14366666666666666,0.417
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.0,0.5,3,0.1386666666666667,0.401
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.0,1.0,3,0.06833333333333334,0.2
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.5,0.0,3,0.19266666666666665,0.565
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.5,0.25,3,0.19433333333333333,0.573
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.5,0.5,3,0.17700000000000002,0.522
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,1.5,1.0,3,0.06766666666666667,0.201
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,2.0,0.0,3,0.216,0.625
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,2.0,0.25,3,0.20199999999999999,0.594
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,2.0,0.5,3,0.18933333333333335,0.555
fl3_entitled,confirmation,joint_wild_cluster_rademacher,5,2.0,1.0,3,0.07933333333333334,0.232
fl3_entitled,confirmation,joint_wild_cluster_rademacher,6,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_wild_cluster_rademacher,6,0.25,0.0,3,0.03233333333333333,0.085
fl3_entitled,confirmation,joint_wild_cluster_rademacher,6,0.25,0.25,3,0.03166666666666667,0.091
fl3_entitled,confirmation,joint_wild_cluster_rademacher,6,0.25,0.5,3,0.02466666666666667,0.068
fl3_entitled,confirmation,joint_wild_cluster_rademacher,6,0.25,1.0,3,0.026333333333333334,0.073
fl3_entitled,confirmation,joint_wild_cluster_rademacher,6,0.5,0.0,3,0.12233333333333334,0.357
