partition,simulator_id,prospective_cluster_count,control_response_lambda,delta,addresses,macro_mean_gate_passage_probability,minimum_address_probability,median_address_probability,maximum_address_probability
confirmation,joint_gaussian_regularized_cluster,6,0.0,0.75,6,0.15733333333333335,0.0,0.031,0.543
confirmation,joint_gaussian_regularized_cluster,6,0.0,1.0,6,0.17883333333333332,0.0,0.038000000000000006,0.659
confirmation,joint_gaussian_regularized_cluster,6,0.0,1.5,6,0.19966666666666666,0.0,0.0385,0.774
confirmation,joint_gaussian_regularized_cluster,6,0.0,2.0,6,0.2058333333333333,0.0,0.036500000000000005,0.817
confirmation,joint_gaussian_regularized_cluster,6,0.25,0.25,6,0.03833333333333333,0.0,0.013,0.122
confirmation,joint_gaussian_regularized_cluster,6,0.25,0.5,6,0.11116666666666668,0.0,0.022,0.336
confirmation,joint_gaussian_regularized_cluster,6,0.25,0.75,6,0.15016666666666667,0.0,0.0335,0.534
confirmation,joint_gaussian_regularized_cluster,6,0.25,1.0,6,0.17333333333333334,0.0,0.036000000000000004,0.645
confirmation,joint_gaussian_regularized_cluster,6,0.25,1.5,6,0.20133333333333334,0.0,0.04,0.773
confirmation,joint_gaussian_regularized_cluster,6,0.25,2.0,6,0.20633333333333334,0.0,0.036500000000000005,0.809
confirmation,joint_gaussian_regularized_cluster,6,0.5,0.25,6,0.039,0.0,0.0105,0.12
confirmation,joint_gaussian_regularized_cluster,6,0.5,0.5,6,0.10433333333333333,0.0,0.027000000000000003,0.335
confirmation,joint_gaussian_regularized_cluster,6,0.5,0.75,6,0.14433333333333334,0.0,0.027499999999999997,0.52
confirmation,joint_gaussian_regularized_cluster,6,0.5,1.0,6,0.1615,0.0,0.0335,0.608
confirmation,joint_gaussian_regularized_cluster,6,0.5,1.5,6,0.18983333333333333,0.0,0.034,0.735
confirmation,joint_gaussian_regularized_cluster,6,0.5,2.0,6,0.19016666666666668,0.0,0.028999999999999998,0.737
confirmation,joint_gaussian_regularized_cluster,6,1.0,0.25,6,0.023500000000000004,0.0,0.005,0.074
confirmation,joint_gaussian_regularized_cluster,6,1.0,0.5,6,0.050499999999999996,0.0,0.0085,0.181
confirmation,joint_gaussian_regularized_cluster,6,1.0,0.75,6,0.064,0.0,0.0125,0.255
confirmation,joint_gaussian_regularized_cluster,6,1.0,1.0,6,0.07216666666666666,0.0,0.0115,0.291
confirmation,joint_gaussian_regularized_cluster,6,1.0,1.5,6,0.07050000000000001,0.0,0.009000000000000001,0.28
confirmation,joint_gaussian_regularized_cluster,6,1.0,2.0,6,0.06783333333333334,0.0,0.011,0.278
confirmation,joint_gaussian_regularized_cluster,8,0.0,0.0,6,0.0,0.0,0.0,0.0
