scenario_id,address_id,partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,replicates,gate_name,gate_order,pass_probability,failure_probability
CS-92046ce8bdc11855cfc9bb39,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,1000,cluster_uncertainty_pass,6,0.3,0.7
CS-92046ce8bdc11855cfc9bb39,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.0,1.0
CS-92046ce8bdc11855cfc9bb39,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.0,1.0
CS-92046ce8bdc11855cfc9bb39,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.815,0.18500000000000005
CS-92046ce8bdc11855cfc9bb39,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,1000,control_specificity_pass,10,0.862,0.138
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,support_available_pass,1,1.0,0.0
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,complement_admissible_pass,2,0.936,0.06399999999999995
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,effect_direction_reproduced_pass,3,0.934,0.06599999999999995
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,target_contrast_positive_pass,4,0.934,0.06599999999999995
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,minimum_effect_pass,5,0.663,0.33699999999999997
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,cluster_uncertainty_pass,6,0.464,0.536
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.022,0.978
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.022,0.978
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.86,0.14
CS-f6bd94eb12030489f1e92a53,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,1000,control_specificity_pass,10,0.934,0.06599999999999995
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,support_available_pass,1,1.0,0.0
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,complement_admissible_pass,2,0.983,0.017000000000000015
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,effect_direction_reproduced_pass,3,0.973,0.027000000000000024
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,target_contrast_positive_pass,4,0.973,0.027000000000000024
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,minimum_effect_pass,5,0.719,0.281
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,cluster_uncertainty_pass,6,0.582,0.41800000000000004
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.053,0.947
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.053,0.947
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.902,0.09799999999999998
CS-4a5ed6527ea236d24d45e865,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,5,0.25,0.0,1000,control_specificity_pass,10,0.973,0.027000000000000024
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,support_available_pass,1,1.0,0.0
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,complement_admissible_pass,2,0.999,0.0010000000000000009
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,effect_direction_reproduced_pass,3,0.99,0.010000000000000009
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,target_contrast_positive_pass,4,0.99,0.010000000000000009
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,minimum_effect_pass,5,0.76,0.24
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,cluster_uncertainty_pass,6,0.676,0.32399999999999995
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.142,0.858
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.142,0.858
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.938,0.062000000000000055
CS-60825502233b89b1be20314b,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,1000,control_specificity_pass,10,0.99,0.010000000000000009
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,support_available_pass,1,1.0,0.0
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,complement_admissible_pass,2,1.0,0.0
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,effect_direction_reproduced_pass,3,1.0,0.0
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,target_contrast_positive_pass,4,1.0,0.0
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,minimum_effect_pass,5,0.825,0.17500000000000004
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,cluster_uncertainty_pass,6,0.781,0.21899999999999997
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.338,0.6619999999999999
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.338,0.6619999999999999
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.96,0.040000000000000036
CS-c3a99d3f00478c06aaedf1e7,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.25,0.0,1000,control_specificity_pass,10,1.0,0.0
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,support_available_pass,1,1.0,0.0
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,complement_admissible_pass,2,1.0,0.0
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,effect_direction_reproduced_pass,3,1.0,0.0
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,target_contrast_positive_pass,4,1.0,0.0
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,minimum_effect_pass,5,0.873,0.127
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,cluster_uncertainty_pass,6,0.861,0.139
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.539,0.46099999999999997
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.539,0.46099999999999997
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.978,0.02200000000000002
CS-2098eae7ab7aed0edbbd7903,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.25,0.0,1000,control_specificity_pass,10,1.0,0.0
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,support_available_pass,1,1.0,0.0
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,complement_admissible_pass,2,1.0,0.0
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,effect_direction_reproduced_pass,3,1.0,0.0
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,target_contrast_positive_pass,4,1.0,0.0
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,minimum_effect_pass,5,0.888,0.11199999999999999
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,cluster_uncertainty_pass,6,0.918,0.08199999999999996
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,raw_statistical_threshold_pass,7,0.714,0.28600000000000003
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.714,0.28600000000000003
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,control_adjusted_contrast_pass,9,0.989,0.01100000000000001
CS-9b95a29717cdd20543e1d887,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.25,0.0,1000,control_specificity_pass,10,1.0,0.0
CS-21e6ce41260fe8dd82a4d364,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.0,1000,support_available_pass,1,1.0,0.0
CS-21e6ce41260fe8dd82a4d364,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.0,1000,complement_admissible_pass,2,0.891,0.10899999999999999
CS-21e6ce41260fe8dd82a4d364,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.0,1000,effect_direction_reproduced_pass,3,0.951,0.049000000000000044
CS-21e6ce41260fe8dd82a4d364,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.0,1000,target_contrast_positive_pass,4,0.951,0.049000000000000044
CS-21e6ce41260fe8dd82a4d364,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.0,1000,minimum_effect_pass,5,0.894,0.10599999999999998
