artifact_label,artifact_path,unit_family,column_name,available,rows_read,non_null_rows,non_null_share,unique_units,median_rows_per_unit,largest_unit_rows,candidate_role,limitation
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,provenance,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,observation_id,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,object_id,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,route_id,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,transition_id,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,window_id,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,cohort,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,regime,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,scale,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_confusion_matrices,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_confusion_matrices.csv,provenance,,False,324,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,observation_id,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,object_id,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,route_id,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,transition_id,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,window_id,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,cohort,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,regime,,False,1740,0,0.0,0,,0,unavailable,field family not found
