support_family,artifact_label,artifact_path,column_name,available,non_null_rows,unique_values,candidate_stage_ceiling,support_use,limitation
route_or_path,obs073_feature_table__16,outputs/obs073_continuous_field_groupoid_reduction_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__17,outputs/obs073_continuous_field_groupoid_reduction_v2_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__18,outputs/obs073_continuous_field_groupoid_reduction_v3_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__19,outputs/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__20,outputs/obs073_continuous_field_groupoid_reduction_v4_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__21,outputs/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__22,outputs/obs073_continuous_field_groupoid_reduction_v5_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs074_feature_table__4,outputs/obs074_lexical_field_bridge_C_Cp_Cp2_v2_smoke/obs074_feature_table.csv,path_id,True,45000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_feature_zscores,outputs/comparisons/obs078c_stability_signature_localization/obs078c_feature_zscores.csv,transition,True,168,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_pairwise_case_contrasts,outputs/comparisons/obs078c_stability_signature_localization/obs078c_pairwise_case_contrasts.csv,transition,True,13,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_signature_by_object_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_transition.csv,transition,True,30,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_signature_by_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_transition.csv,transition,True,14,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_top_separating_groups,outputs/comparisons/obs078c_stability_signature_localization/obs078c_top_separating_groups.csv,transition,True,22,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs079a_leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,transition,True,4032,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs079b_bootstrap_ci_by_transition,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_transition.csv,transition,True,140,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs079b_bootstrap_pairwise_case_contrasts_by_transition,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_transition.csv,transition,True,130,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs079b_feature_zscores,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_feature_zscores.csv,transition,True,168,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs079b_group_inventory,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_group_inventory.csv,transition,True,14,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs079c_pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,transition,True,37632,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs080a_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,transition,True,56448,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs080a_transformed_feature_table,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transformed_feature_table.csv,transition,True,168,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,transition,True,43288,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs080c_feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,transition,True,96768,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
window,,,,False,0,0,unavailable,unavailable,no matching field found in inventoried artifacts
cohort,obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,cohort,True,168,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078a_feature_table__2,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_table.csv,cohort,True,168,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078c_case_cohort_matrix,outputs/comparisons/obs078c_stability_signature_localization/obs078c_case_cohort_matrix.csv,cohort,True,6,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078c_feature_zscores,outputs/comparisons/obs078c_stability_signature_localization/obs078c_feature_zscores.csv,cohort,True,168,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078c_pairwise_case_contrasts,outputs/comparisons/obs078c_stability_signature_localization/obs078c_pairwise_case_contrasts.csv,cohort,True,109,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078c_signature_by_cohort,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_cohort.csv,cohort,True,18,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078c_signature_by_object_cohort,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_cohort.csv,cohort,True,115,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs078c_top_separating_groups,outputs/comparisons/obs078c_stability_signature_localization/obs078c_top_separating_groups.csv,cohort,True,109,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079a_leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,cohort,True,4032,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079b_bootstrap_ci_by_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_cohort.csv,cohort,True,180,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079b_bootstrap_ci_by_object_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object_cohort.csv,cohort,True,1150,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079b_bootstrap_pairwise_case_contrasts_by_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_cohort.csv,cohort,True,180,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079b_feature_zscores,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_feature_zscores.csv,cohort,True,168,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079b_group_inventory,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_group_inventory.csv,cohort,True,133,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs079c_pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,cohort,True,37632,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs080a_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,cohort,True,56448,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs080a_transformed_feature_table,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transformed_feature_table.csv,cohort,True,168,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,cohort,True,43288,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,obs080c_feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,cohort,True,96768,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
cohort,rig_stability_core_geometry,outputs/rig_navigator/views/rig_stability_core_geometry.csv,cohort,True,168,6,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,scale,True,15000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,scale,True,15000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,scale,True,45000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,scale,True,145000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,t,True,1200,8,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,t,True,1200,8,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_confusion_matrices,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_confusion_matrices.csv,scale_band,True,12260,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_failures,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_failures.csv,scale_band,True,112,3,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_pairwise_scale_band_summary,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_pairwise_scale_band_summary.csv,scale_band,True,27,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_permutation_scores,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_permutation_scores.csv,scale_band,True,21600,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_permutation_summary,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_permutation_summary.csv,scale_band,True,108,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_scale_band_manifest,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_manifest.csv,scale_band,True,10,10,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,scale_band,True,43288,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_scale_band_scheme_summary,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_scheme_summary.csv,scale_band,True,1060,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_scale_band_scores,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_scores.csv,scale_band,True,2320,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_scale_band_stability_matrix,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,scale_band,True,36,9,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs080b_validation_groups,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_validation_groups.csv,scale_band,True,608,10,schema_reconnaissance_only,candidate_support_or_stratification_field,
scale_band,obs073_feature_table__4,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_C0_instant_vs_Cp_v5/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__5,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_Cp_vs_Cp2_v5/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__6,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__7,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v2_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__8,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v3_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__9,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__10,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v4_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__11,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__12,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v5_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__13,outputs/obs073_C0_instant_vs_Cp_v5/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__14,outputs/obs073_C_vs_Cp_v5/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__15,outputs/obs073_Cp_vs_Cp2_v5/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__16,outputs/obs073_continuous_field_groupoid_reduction_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__17,outputs/obs073_continuous_field_groupoid_reduction_v2_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__18,outputs/obs073_continuous_field_groupoid_reduction_v3_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__19,outputs/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__20,outputs/obs073_continuous_field_groupoid_reduction_v4_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__21,outputs/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,scale,True,200000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs073_feature_table__22,outputs/obs073_continuous_field_groupoid_reduction_v5_smoke/obs073_feature_table.csv,scale,True,30000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
scale_band,obs074_feature_table__4,outputs/obs074_lexical_field_bridge_C_Cp_Cp2_v2_smoke/obs074_feature_table.csv,scale,True,45000,1,schema_reconnaissance_only,descriptor_only_insufficient_contrast,single level cannot define support versus complement
feature_family,obs078b_confusion_matrices,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_confusion_matrices.csv,feature_set,True,828,23,schema_reconnaissance_only,candidate_support_or_stratification_field,
feature_family,obs078b_feature_importance,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_feature_importance.csv,feature_set,True,1940,23,schema_reconnaissance_only,candidate_support_or_stratification_field,
feature_family,obs078b_feature_sets,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_feature_sets.csv,feature_set,True,388,23,schema_reconnaissance_only,candidate_support_or_stratification_field,
feature_family,obs078b_panel_scores,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_panel_scores.csv,feature_set,True,92,23,schema_reconnaissance_only,candidate_support_or_stratification_field,
feature_family,obs078b_permutation_scores,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_permutation_scores.csv,feature_set,True,6900,23,schema_reconnaissance_only,candidate_support_or_stratification_field,
feature_family,obs078b_permutation_summary,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_permutation_summary.csv,feature_set,True,69,23,schema_reconnaissance_only,candidate_support_or_stratification_field,
feature_family,obs082_blockers,outputs/rig_registry/obs082_intervention_readiness/obs082_blockers.csv,feature_family,True,0,0,schema_reconnaissance_only,descriptor_only_insufficient_contrast,field contains no non-null values
