artifact_label,artifact_path,unit_family,unit_column,row_count,non_null_rows,unique_clusters,singleton_clusters,largest_cluster_rows,median_cluster_rows,regime_column,regime_levels,provenance_column,provenance_levels,feasible_two_way,feasible_three_way,recommended_design,limitation,partition_priority,independence_guardrail
obs078c_signature_by_object,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object.csv,object_id,object,21,21,8,0,3,3.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs078c_signature_by_object_cohort,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_cohort.csv,object_id,object,115,115,8,0,18,16.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs078c_signature_by_object_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_transition.csv,object_id,object,30,30,8,0,6,4.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs078c_top_separating_groups,outputs/comparisons/obs078c_stability_signature_localization/obs078c_top_separating_groups.csv,object_id,object,149,118,8,0,23,18.5,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079a_leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,object_id,object,4032,4032,8,0,840,552.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079b_bootstrap_ci_by_object,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object.csv,object_id,object,210,210,8,0,30,30.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079b_bootstrap_ci_by_object_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object_cohort.csv,object_id,object,1150,1150,8,0,180,160.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079b_bootstrap_pairwise_case_contrasts_by_object,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_object.csv,object_id,object,180,180,8,0,30,30.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079b_feature_zscores,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_feature_zscores.csv,object_id,object,168,168,8,0,35,23.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079b_group_inventory,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_group_inventory.csv,object_id,object,171,136,8,0,21,19.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs079c_pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,object_id,object,37632,37632,8,0,7840,5152.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs080a_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,object_id,object,56448,56448,8,0,11760,7728.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs080a_transformed_feature_table,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transformed_feature_table.csv,object_id,object,168,168,8,0,35,23.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,object_id,object,43288,43288,8,0,9120,5680.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs080c_feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,object_id,object,96768,96768,8,0,20160,13248.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
rig_stability_core_geometry,outputs/rig_navigator/views/rig_stability_core_geometry.csv,object_id,object,168,168,8,0,35,23.0,,0,,0,False,False,not_confirmation_feasible,only 8 independent clusters; need at least 12,1,keep all rows/windows/routes belonging to an object in one partition
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,route_id,path_id,0,0,0,0,0,,corpus,0,,0,False,False,not_confirmation_feasible,only 0 independent clusters; need at least 12,2,keep overlapping windows and transitions from a route in one partition
obs078c_feature_zscores,outputs/comparisons/obs078c_stability_signature_localization/obs078c_feature_zscores.csv,transition_id,transition,168,168,5,0,42,32.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs078c_pairwise_case_contrasts,outputs/comparisons/obs078c_stability_signature_localization/obs078c_pairwise_case_contrasts.csv,transition_id,transition,143,13,5,1,3,3.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs078c_signature_by_object_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_transition.csv,transition_id,transition,30,30,5,0,7,7.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs078c_signature_by_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_transition.csv,transition_id,transition,14,14,5,0,3,3.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs078c_top_separating_groups,outputs/comparisons/obs078c_stability_signature_localization/obs078c_top_separating_groups.csv,transition_id,transition,149,22,5,0,6,5.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs079a_leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,transition_id,transition,4032,4032,5,0,1008,768.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs079b_bootstrap_ci_by_transition,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_transition.csv,transition_id,transition,140,140,5,0,30,30.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs079b_bootstrap_pairwise_case_contrasts_by_transition,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_transition.csv,transition_id,transition,130,130,5,0,30,30.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs079b_feature_zscores,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_feature_zscores.csv,transition_id,transition,168,168,5,0,42,32.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs079b_group_inventory,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_group_inventory.csv,transition_id,transition,171,14,5,0,3,3.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs079c_pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,transition_id,transition,37632,37632,5,0,9408,7168.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs080a_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,transition_id,transition,56448,56448,5,0,14112,10752.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs080a_transformed_feature_table,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transformed_feature_table.csv,transition_id,transition,168,168,5,0,42,32.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,transition_id,transition,43288,43288,5,0,11808,7168.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
obs080c_feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,transition_id,transition,96768,96768,5,0,24192,18432.0,,0,,0,False,False,not_confirmation_feasible,only 5 independent clusters; need at least 12,3,keep all windows belonging to a transition block in one partition
rig_survival_matrix,outputs/rig_registry/rig_survival_matrix.csv,provenance,source_path,256,256,4,0,144,42.0,,0,source_path,4,False,False,not_confirmation_feasible,only 4 independent clusters; need at least 12,4,"a provenance campaign may be a replication unit, not merely a row label"
