artifact_label,artifact_path,suffix,priority_match,size_bytes,size_mb,sha256,rows_read,column_count,read_status,read_error
obs078c_top_separating_groups,outputs/comparisons/obs078c_stability_signature_localization/obs078c_top_separating_groups.csv,.csv,True,114495,0.109191,af364182ea18e60c0607064f74f5003c95f688fb350f0b21274fa14af6eb089b,149.0,49,ok,
obs078c_zscore_stats,outputs/comparisons/obs078c_stability_signature_localization/obs078c_zscore_stats.csv,.csv,True,295,0.000281,7aef0662f19bae473abd5e472d9f003a8ca48fb6224342bdd7cc6f7e415a8278,3.0,5,ok,
obs079a_confusion_matrices,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_confusion_matrices.csv,.csv,True,118760,0.113258,3e9f2fee0d26a81a80a0e8c41993f9ebfab023c1f1355dc1003e88814f071006,2020.0,6,ok,
obs079a_feature_manifest,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_feature_manifest.csv,.csv,True,258,0.000246,ca6e0e13cfa432018f7c226045f44aecca230aa1e3a74a418b9d3f1f2f4cdfc7,3.0,3,ok,
obs079a_input_manifest,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_input_manifest.csv,.csv,True,146,0.000139,f7ad1fd8f43e05a811cacabc793f1ea901a4b21627852ae44add580ab9027676,1.0,5,ok,
obs079a_leave_structure_failures,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_failures.csv,.csv,True,1,1e-06,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0.0,0,empty_csv,
obs079a_leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,.csv,True,356214,0.339712,23b151b794a6d50aff9a5febe68c9478a52644974f959db62236d34bac283672,4032.0,10,ok,
obs079a_leave_structure_scores,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_scores.csv,.csv,True,58818,0.056093,9f0bde7f67bc1b075d7b20d2e3ff419879562040402bf038a6dba0448100a419,356.0,15,ok,
obs079a_report,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_report.md,.md,True,37873,0.036119,dd5a13d697e93f018f4b0398da25ab851ad469132f8c02059a84f7243a1f1556,,0,exists_non_tabular,
obs079a_scheme_summary,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_scheme_summary.csv,.csv,True,7860,0.007496,ff7df4d29e21a07e5efe45ef9e12c6aa4e76b2f68bc66f612407cd919f091b87,44.0,12,ok,
obs079a_validation_groups,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_validation_groups.csv,.csv,True,6691,0.006381,66ef0f1e3ce347e67a3e79dc3c1dd4b31c3747b6a5b9d2b2497321a374d971ee,89.0,6,ok,
obs079b_bootstrap_ci_by_case,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_case.csv,.csv,True,4823,0.0046,e62def6a7817e9c40c396975b1bcb578aec2fc0526e2eb0a3c489bfb11d35369,30.0,12,ok,
obs079b_bootstrap_ci_by_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_cohort.csv,.csv,True,29606,0.028234,3f08eab4701abd885b9e8d4a701a349a3f9e5672cad573b15a8fda36a56bf182,180.0,13,ok,
obs079b_bootstrap_ci_by_object,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object.csv,.csv,True,34893,0.033277,f6f21941b1b7ff0b0ac198c0760a9c0427838df772e546f46cddb7c80d038a98,210.0,13,ok,
obs079b_bootstrap_ci_by_object_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object_cohort.csv,.csv,True,184688,0.176132,32bfef5ca1083cf1f825e041af9ca9e8c0ca10132891d5c1908280798d0e33dc,1150.0,14,ok,
