record_id,support_id,failure_predicate,failure_mode,control_record_id,control_family,control_relation,control_carrier,target_site_relative_contrast,control_site_relative_contrast,control_adjusted_contrast,control_complement_admissible,control_site_rows,control_complement_rows,control_shared_clusters,control_status,control_admissibility_rule,candidate_id,confirmation_partition_id,row_type,admissible_control_count,alternative_control_count,median_control_site_relative_contrast,median_control_adjusted_contrast,positive_control_adjusted_share,control_robustness_pass,control_robustness_status,eligible_control_records_json
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,C_vs_Cp3__no_window,relation_control,C_vs_Cp3,no_window,0.07575757575757575,0.26515151515151514,-0.1893939393939394,True,9.0,45.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,Cp2_vs_Cp3__no_window,relation_control,Cp2_vs_Cp3,no_window,0.07575757575757575,0.0,0.07575757575757575,True,16.0,37.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,three_way__no_window,relation_control,three_way,no_window,0.07575757575757575,0.3763724198506806,-0.30061484409310485,True,19.0,59.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.07575757575757575,0.14393939393939392,-0.06818181818181818,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,C_vs_Cp2__geometry_scores_only,carrier_control,C_vs_Cp2,geometry_scores_only,0.07575757575757575,0.05324675324675332,0.022510822510822426,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.07575757575757575,-0.06060606060606061,0.13636363636363635,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.07575757575757575,0.07575757575757575,0.0,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,local_criterion_breach,threshold_breach,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.07575757575757575,0.0,0.07575757575757575,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-f4375eb30e72ed220004,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp3__no_window,relation_control,C_vs_Cp3,no_window,0.3039262169043379,0.1612605848011092,0.14266563210322872,True,9.0,45.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,Cp2_vs_Cp3__no_window,relation_control,Cp2_vs_Cp3,no_window,0.3039262169043379,0.03781889208037155,0.2661073248239664,True,16.0,37.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
