scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,delta,control_response_lambda,replicates,finite_target_replicates,overall_gate_passes,conditional_gate_passage_probability,monte_carlo_se,wilson_95_low,wilson_95_high,mean_target_contrast,sd_target_contrast,mean_target_response_from_simulated_null,mean_control_adjusted_contrast,mean_raw_permutation_p,support_available_pass_count,support_available_pass_probability,complement_admissible_pass_count,complement_admissible_pass_probability,effect_direction_reproduced_pass_count,effect_direction_reproduced_pass_probability,target_contrast_positive_pass_count,target_contrast_positive_pass_probability,minimum_effect_pass_count,minimum_effect_pass_probability,cluster_uncertainty_pass_count,cluster_uncertainty_pass_probability,raw_statistical_threshold_pass_count,raw_statistical_threshold_pass_probability,multiplicity_adjusted_threshold_pass_count,multiplicity_adjusted_threshold_pass_probability,control_adjusted_contrast_pass_count,control_adjusted_contrast_pass_probability,control_specificity_pass_count,control_specificity_pass_probability
BS-01bc28268e93dc910e331392,1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6805416666666668,0.14767099123458624,0.6805416666666668,0.005979166666666658,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,414,0.414,599,0.599
BS-01bc28268e93dc910e331392,1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6862916666666669,0.1463175917553982,0.6862916666666669,0.010860119047619009,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,418,0.418,623,0.623
BS-01bc28268e93dc910e331392,1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6735625,0.1458369663854626,0.6735625,-0.0045,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,406,0.406,531,0.531
BS-01bc28268e93dc910e331392,1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.667625,0.14331638587915,0.667625,-0.0113125,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,378,0.378,516,0.516
BS-01bc28268e93dc910e331392,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6843333333333329,0.13564930544386453,0.6843333333333329,0.007958333333333347,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,365,0.365,569,0.569
BS-01bc28268e93dc910e331392,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6733333333333336,0.1384025519182714,0.6733333333333336,-0.005416666666666667,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,999,0.999,0,0.0,0,0.0,0,0.0,340,0.34,517,0.517
BS-01bc28268e93dc910e331392,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6747916666666672,0.12198834861929927,0.6747916666666672,-0.0016458333333333303,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,349,0.349,563,0.563
BS-01bc28268e93dc910e331392,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6761666666666661,0.11524178737960722,0.6761666666666661,0.0002083333333333365,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,356,0.356,573,0.573
BS-01bc28268e93dc910e331392,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6786666666666678,0.10655671494637801,0.6786666666666678,-0.0012916666666666651,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,356,0.356,572,0.572
BS-01bc28268e93dc910e331392,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.671666666666667,0.1013581171508003,0.671666666666667,-0.005208333333333338,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,326,0.326,570,0.57
