failure_predicate,partition,simulator_id,delta,control_response_lambda,gate_name,replicates,pass_count,pass_probability,failure_probability
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,minimum_effect_pass,6000,5767,0.9611666666666666,0.038833333333333386
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,cluster_uncertainty_pass,6000,1612,0.26866666666666666,0.7313333333333334
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,control_adjusted_contrast_pass,6000,5923,0.9871666666666666,0.012833333333333363
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,control_specificity_pass,6000,5933,0.9888333333333333,0.011166666666666658
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,effect_direction_reproduced_pass,6000,5940,0.99,0.010000000000000009
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,target_contrast_positive_pass,6000,5940,0.99,0.010000000000000009
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,minimum_effect_pass,6000,5769,0.9615,0.03849999999999998
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,cluster_uncertainty_pass,6000,1607,0.2678333333333333,0.7321666666666666
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,control_adjusted_contrast_pass,6000,5479,0.9131666666666667,0.08683333333333332
