source_role,field,dtype,unique_values,primary_field_role,allowed_as_predictor,allowed_for_matching,allowed_for_partitioning,manual_review_required
scale_band_predictions,object,str,8,grouping_partition,False,True,True,False
scale_band_predictions,cohort,str,6,grouping_partition,False,True,True,False
scale_band_predictions,transition,str,5,grouping_partition,False,True,True,False
scale_band_predictions,scale_index_from,int64,5,candidate_predictor,True,False,False,False
scale_band_predictions,scale_index_to,int64,5,candidate_predictor,True,False,False,False
scale_band_predictions,transition_delta,int64,1,grouping_partition,False,True,True,False
scale_band_predictions,transition_midpoint,float64,5,grouping_partition,False,True,True,False
scale_band_predictions,task,str,4,metadata_unresolved,False,True,False,True
scale_band_predictions,scale_band,str,9,metadata_unresolved,False,True,False,True
scale_band_predictions,scheme,str,4,grouping_partition,False,True,True,False
scale_band_predictions,model,str,4,provenance,False,True,False,False
scale_band_predictions,heldout_group,str,20,metadata_unresolved,False,True,False,True
scale_band_predictions,prediction,str,3,outcome_or_evaluation,False,False,False,False
scale_band_predictions,correct,bool,2,forbidden_predictive_leakage,False,False,False,False
feature_contract_predictions,row_id,int64,168,candidate_predictor,True,False,False,False
feature_contract_predictions,case,str,3,metadata_unresolved,False,True,False,True
feature_contract_predictions,object,str,8,grouping_partition,False,True,True,False
feature_contract_predictions,cohort,str,6,grouping_partition,False,True,True,False
feature_contract_predictions,transition,str,5,grouping_partition,False,True,True,False
feature_contract_predictions,task,str,4,metadata_unresolved,False,True,False,True
feature_contract_predictions,feature_contract,str,12,metadata_unresolved,False,True,False,True
feature_contract_predictions,scheme,str,4,grouping_partition,False,True,True,False
feature_contract_predictions,model,str,4,provenance,False,True,False,False
feature_contract_predictions,heldout_group,str,20,metadata_unresolved,False,True,False,True
feature_contract_predictions,prediction,str,3,outcome_or_evaluation,False,False,False,False
feature_contract_predictions,correct,bool,2,forbidden_predictive_leakage,False,False,False,False
structural_resampling_summary,task,str,4,metadata_unresolved,False,True,False,True
structural_resampling_summary,feature_contract,str,6,metadata_unresolved,False,True,False,True
structural_resampling_summary,resampling_contract,str,6,metadata_unresolved,False,True,False,True
structural_resampling_summary,model,str,4,provenance,False,True,False,False
structural_resampling_summary,baseline_balanced_accuracy,float64,2,candidate_predictor,True,False,False,False
structural_resampling_summary,threshold,float64,3,candidate_predictor,True,False,False,False
structural_resampling_summary,n_success,int64,1,candidate_predictor,True,False,False,False
structural_resampling_summary,n_fail,int64,1,candidate_predictor,True,False,False,False
structural_resampling_summary,failure_rate,float64,1,candidate_predictor,True,False,False,False
