record_id,relation,carrier,subclass,cluster_family,cluster_column,discovery_clusters,confirmation_clusters,replication_clusters,minimum_class_partition_clusters,three_way_balance_candidate,status
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,C2_localization-limited,case,case,0,2,0,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,C2_localization-limited,case,case,0,2,0,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,C1_contrast-limited,case,case,0,2,0,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,C2_localization-limited,case,case,0,2,0,1,False,schema_balance_candidate_not_confirmation_ready
three_way__geometry_scores_only,three_way,geometry_scores_only,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
three_way__geometry_scores_only,three_way,geometry_scores_only,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
three_way__geometry_scores_only,three_way,geometry_scores_only,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
three_way__no_window,three_way,no_window,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
three_way__no_window,three_way,no_window,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
three_way__no_window,three_way,no_window,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
three_way__stability_plus_geometry,three_way,stability_plus_geometry,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
three_way__stability_plus_geometry,three_way,stability_plus_geometry,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
three_way__stability_plus_geometry,three_way,stability_plus_geometry,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
three_way__strict_numeric_all,three_way,strict_numeric_all,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
three_way__strict_numeric_all,three_way,strict_numeric_all,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
three_way__strict_numeric_all,three_way,strict_numeric_all,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
three_way__path_shares_only,three_way,path_shares_only,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
three_way__path_shares_only,three_way,path_shares_only,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
three_way__path_shares_only,three_way,path_shares_only,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
three_way__stability_core_3,three_way,stability_core_3,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
three_way__stability_core_3,three_way,stability_core_3,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
three_way__stability_core_3,three_way,stability_core_3,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
