address_id,simulator_id,delta,control_response_lambda,comparison_type,left_label,right_label,mean_absolute_probability_difference,maximum_absolute_probability_difference,trajectory_pearson_correlation,first_pass_k_left,first_pass_k_right,first_pass_k_agreement,empirical_passability_agreement,minimum_k_0_50_agreement,minimum_k_0_80_agreement,minimum_k_0_90_agreement,final_probability_left,final_probability_right,probability_vector_left_json,probability_vector_right_json
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,1.0,1.0,partition,discovery,confirmation,0.08171428571428573,0.16100000000000003,0.8629646191574414,4.0,4.0,True,True,True,True,True,0.297,0.261,"{""10"":0.303,""12"":0.297,""3"":0.0,""4"":0.103,""5"":0.208,""6"":0.28,""8"":0.297}","{""10"":0.261,""12"":0.261,""3"":0.0,""4"":0.024,""5"":0.058,""6"":0.119,""8"":0.193}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,1.5,1.0,partition,discovery,confirmation,0.0682857142857143,0.15699999999999997,0.806844490861686,4.0,4.0,True,True,True,True,True,0.252,0.258,"{""10"":0.265,""12"":0.252,""3"":0.0,""4"":0.101,""5"":0.213,""6"":0.282,""8"":0.281}","{""10"":0.243,""12"":0.258,""3"":0.0,""4"":0.023,""5"":0.063,""6"":0.125,""8"":0.216}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,2.0,1.0,partition,discovery,confirmation,0.05857142857142857,0.14,0.8532213695945395,4.0,4.0,True,True,True,True,True,0.238,0.239,"{""10"":0.257,""12"":0.238,""3"":0.0,""4"":0.101,""5"":0.173,""6"":0.247,""8"":0.26}","{""10"":0.234,""12"":0.239,""3"":0.0,""4"":0.028,""5"":0.074,""6"":0.107,""8"":0.186}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.0,0.0,partition,discovery,confirmation,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.25,0.0,partition,discovery,confirmation,0.04028571428571429,0.146,,4.0,,False,False,True,True,True,0.146,0.0,"{""10"":0.075,""12"":0.146,""3"":0.0,""4"":0.002,""5"":0.009,""6"":0.013,""8"":0.037}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.5,0.0,partition,discovery,confirmation,0.08099999999999999,0.28,,4.0,,False,False,True,True,True,0.28,0.0,"{""10"":0.179,""12"":0.28,""3"":0.0,""4"":0.001,""5"":0.01,""6"":0.015,""8"":0.082}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.75,0.0,partition,discovery,confirmation,0.10314285714285713,0.335,,4.0,,False,False,True,True,True,0.335,0.0,"{""10"":0.208,""12"":0.335,""3"":0.0,""4"":0.001,""5"":0.018,""6"":0.041,""8"":0.119}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.0,0.0,partition,discovery,confirmation,0.10457142857142857,0.333,,4.0,,False,False,True,True,True,0.333,0.0,"{""10"":0.224,""12"":0.333,""3"":0.0,""4"":0.005,""5"":0.02,""6"":0.033,""8"":0.117}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.5,0.0,partition,discovery,confirmation,0.11642857142857142,0.383,,4.0,,False,False,True,True,True,0.383,0.0,"{""10"":0.251,""12"":0.383,""3"":0.0,""4"":0.003,""5"":0.014,""6"":0.043,""8"":0.121}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,2.0,0.0,partition,discovery,confirmation,0.08757142857142856,0.304,,4.0,,False,False,True,True,True,0.304,0.0,"{""10"":0.181,""12"":0.304,""3"":0.0,""4"":0.005,""5"":0.007,""6"":0.026,""8"":0.09}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
