address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,delta,control_response_lambda,trajectory_class,probability_shape,first_empirically_passable_k,empirically_passable,maximum_gate_passage_probability,final_tested_gate_passage_probability,k_at_maximum_probability,minimum_k_for_probability_0_50,minimum_k_for_probability_0_80,minimum_k_for_probability_0_90,material_nonmonotone,probability_improving_without_0_50_reliability,late_probability_increment,late_probability_plateau_within_epsilon,late_gain_from_k6_to_max,final_mean_effective_cluster_count,probability_vector_json,mean_effective_cluster_vector_json,probability_k03,probability_k04,probability_k05,probability_k06,probability_k08,probability_k10,probability_k12,trajectory_hash
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,early_passable,observed_non_decreasing,4.0,True,0.268,0.268,12,,,,False,True,0.034,False,0.16300000000000003,5.915,"{""10"":0.234,""12"":0.268,""3"":0.0,""4"":0.018,""5"":0.068,""6"":0.105,""8"":0.202}","{""10"":4.932,""12"":5.915,""3"":1.469,""4"":1.947,""5"":2.454,""6"":2.957,""8"":3.925}",0.0,0.018,0.068,0.105,0.202,0.234,0.268,e347891405e20c83fa18c795c31a8ace769aeadc6a7231888d0c3029aae821da
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.75,1.0,early_passable,observed_non_decreasing,4.0,True,0.275,0.275,12,,,,False,True,0.018000000000000016,False,0.17100000000000004,5.977,"{""10"":0.257,""12"":0.275,""3"":0.0,""4"":0.023,""5"":0.059,""6"":0.104,""8"":0.206}","{""10"":4.966,""12"":5.977,""3"":1.568,""4"":2.06,""5"":2.532,""6"":3.017,""8"":3.984}",0.0,0.023,0.059,0.104,0.206,0.257,0.275,3c3faccdd995cbffd16168a406eff722a282257319dff57790696e7b5701ceba
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.0,1.0,early_passable,observed_non_decreasing,4.0,True,0.261,0.261,10,,,,False,True,0.0,True,0.14200000000000002,5.9,"{""10"":0.261,""12"":0.261,""3"":0.0,""4"":0.024,""5"":0.058,""6"":0.119,""8"":0.193}","{""10"":4.922,""12"":5.9,""3"":1.483,""4"":1.978,""5"":2.494,""6"":3.014,""8"":3.981}",0.0,0.024,0.058,0.119,0.193,0.261,0.261,6866171ec0b944ad57ada918eec645eff6044d69581f477528b4a9f5c359bd73
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,early_passable,observed_non_decreasing,4.0,True,0.258,0.258,12,,,,False,True,0.015000000000000013,False,0.133,6.03,"{""10"":0.243,""12"":0.258,""3"":0.0,""4"":0.023,""5"":0.063,""6"":0.125,""8"":0.216}","{""10"":5.023,""12"":6.03,""3"":1.52,""4"":2.015,""5"":2.506,""6"":3.007,""8"":4.013}",0.0,0.023,0.063,0.125,0.216,0.243,0.258,31ebad41aab66e32d3bd51374f6fba8abcdc00986741ebc9cb8a6c9d89291c80
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,2.0,1.0,early_passable,observed_non_decreasing,4.0,True,0.239,0.239,12,,,,False,True,0.004999999999999977,True,0.132,5.944,"{""10"":0.234,""12"":0.239,""3"":0.0,""4"":0.028,""5"":0.074,""6"":0.107,""8"":0.186}","{""10"":4.965,""12"":5.944,""3"":1.529,""4"":2.025,""5"":2.499,""6"":3.002,""8"":3.972}",0.0,0.028,0.074,0.107,0.186,0.234,0.239,5e5236fa07027999a40b8ecdc078373886811d33faa47f27b6c952cfa8788b92
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.0,0.0,empirically_never_passable,all_zero,,False,0.0,0.0,3,,,,False,False,0.0,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9cbb79c4d5fec4da365b62b18c99bd0e348574d9ddbf8209fe2706c1469461d1
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.25,0.0,empirically_never_passable,all_zero,,False,0.0,0.0,3,,,,False,False,0.0,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,401702c7a635b9ef4a3cf352d51b96d2f46e6d3524e4aaab89ba9fc4e8164ad0
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,0.0,empirically_never_passable,all_zero,,False,0.0,0.0,3,,,,False,False,0.0,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1f8f9c615ce00edd7aa836de5cc56b91cc4267b451866c37b7f97bb5f557afd1
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.75,0.0,empirically_never_passable,all_zero,,False,0.0,0.0,3,,,,False,False,0.0,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc2b1185336958ecd972dc173bde5b99fd4e7d032eee050496ee5307bca5ec94
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.0,0.0,empirically_never_passable,all_zero,,False,0.0,0.0,3,,,,False,False,0.0,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15dbb4e4d116f4b2fef95c86b5914fcc8d152f21c12feb1e90ecbe45bd5ab7cc
