scenario_id,base_scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,prospective_cluster_count,delta,control_response_lambda,first_failure_status,gate_name,gate_order,replicate_count,replicate_probability,replicates
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,target_contrast_positive_pass,4,0,0.0,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,minimum_effect_pass,5,219,0.219,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,cluster_uncertainty_pass,6,305,0.305,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,raw_statistical_threshold_pass,7,276,0.276,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,multiplicity_adjusted_threshold_pass,8,0,0.0,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,control_adjusted_contrast_pass,9,0,0.0,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,control_specificity_pass,10,0,0.0,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,overall_pass,none,0,0,0.0,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,support_available_pass,1,0,0.0,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,complement_admissible_pass,2,143,0.143,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,effect_direction_reproduced_pass,3,73,0.073,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,target_contrast_positive_pass,4,0,0.0,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,minimum_effect_pass,5,224,0.224,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,cluster_uncertainty_pass,6,304,0.304,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,raw_statistical_threshold_pass,7,256,0.256,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,multiplicity_adjusted_threshold_pass,8,0,0.0,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,control_adjusted_contrast_pass,9,0,0.0,1000
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.5,first_failed_gate,control_specificity_pass,10,0,0.0,1000
