operational_family_id,address_id,record_id,support_id,relation,carrier,entitlement_status,reliability_target,discovery_nominal_k,confirmation_nominal_k,total_nominal_objects,maximum_partition_nominal_k,partition_allocation_imbalance,origin_sealed_candidate_cells,origin_sealed_candidate_ids_json,origin_delta_values_json,origin_control_response_lambda_values_json,origin_minimum_paired_probability,origin_median_paired_probability,origin_minimum_support_efficiency,origin_minimum_mean_effective_clusters,origin_material_nonmonotone,scenario_axis_semantics,tested_stress_scenario_cells,defensible_target_reaching_scenario_cells,raw_target_reaching_scenario_cells,material_nonmonotone_hold_cells,partition_discordant_cells_at_fixed_allocation,below_target_cells_at_fixed_allocation,defensible_stress_test_coverage,origin_sealed_member_share,coverage_class,worst_case_paired_probability_all_scenarios,q10_paired_probability_all_scenarios,q25_paired_probability_all_scenarios,median_paired_probability_all_scenarios,mean_paired_probability_all_scenarios,maximum_paired_probability_all_scenarios,minimum_paired_probability_defensible_scenarios,median_paired_probability_defensible_scenarios,maximum_partition_probability_gap,mean_partition_probability_gap,maximum_simulator_spread_at_fixed_allocation,mean_probability_shortfall,maximum_probability_shortfall,all_tested_scenarios_defensibly_reach_target,operational_family_eligible,family_interpretation,dominated_by_count,dominates_count,dominated_by_family_ids_json,dominates_family_ids_json,pareto_nondominated,pareto_status,selection_roles_json,maximum_group_defensible_cells,defensible_cell_shortfall_from_group_maximum,near_maximum_coverage_eligible,majority_coverage_required,protocol_selection_rank,protocol_selection_status,protocol_selection_reason,protocol_freeze_review_eligible
OF-68801c6e4229fd7d7cb2e71b,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.5,6,6,12,6,0,6,"[""PP-074c3928f9efd72e03e7620c"",""PP-0d91eeaf807cce0633d79805"",""PP-0e91c8dc827c8cf662b093b2"",""PP-6541f319c6d4136649eca24f"",""PP-778ec16ea273e1c19101f18e"",""PP-8e88953379b7f656e03b3e2d""]","[0.75,1.0]","[0.0,0.25,0.5]",0.509,0.55,0.7374999999999999,4.425,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,12,12,4,0,9,0.48,0.24,restricted_tested_stress_coverage,0.0,0.07179999999999999,0.255,0.336,0.42088000000000003,0.817,0.509,0.679,0.07000000000000006,0.018840000000000003,0.043999999999999984,0.15968,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",17.0,5.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-0f27a07be4cf2153e2888363,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.5,8,8,16,8,0,3,"[""PP-17e94426e52412be12ccf91c"",""PP-562fb0647a539929fdedfd5d"",""PP-a7e84f0e3e8e6bff174b5c7b""]",[0.5],"[0.0,0.25,0.5]",0.577,0.588,0.7425,5.94,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,15,15,4,0,6,0.6,0.12,majority_tested_stress_coverage,0.0,0.2126,0.288,0.606,0.58556,0.963,0.577,0.89,0.04399999999999993,0.017079999999999998,0.04800000000000004,0.10744000000000002,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",17.0,2.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-903ef1edcd0001ff716016ad,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.5,12,12,24,12,0,2,"[""PP-0fb76f7c71819e8a6d8e9e43"",""PP-1830de28dee2133642fed443""]",[0.25],"[0.0,0.25]",0.535,0.542,0.7426666666666667,8.912,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,17,17,4,0,4,0.68,0.08,majority_tested_stress_coverage,0.0,0.2776,0.297,0.904,0.7025999999999999,1.0,0.535,0.977,0.03499999999999992,0.00959999999999999,0.04500000000000004,0.07364,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""coverage_anchor"",""partition_balance_anchor""]",17.0,0.0,True,True,1.0,protocol_selected_for_preregistration_review,within_one_stress_cell_of_group_maximum; majority_coverage; lexicographically_best_under_frozen_rule,True
OF-b4f092907d174f4aa1a9d5e9,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.8,6,6,12,6,0,1,"[""PP-d44aa8d572647d71d144b952""]",[2.0],[0.0],0.817,0.817,0.7453333333333334,4.472,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,1,1,4,1,19,0.04,0.04,restricted_tested_stress_coverage,0.0,0.07179999999999999,0.255,0.336,0.42088000000000003,0.817,0.817,0.817,0.07000000000000006,0.018840000000000003,0.043999999999999984,0.3798,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""cost_anchor"",""partition_balance_anchor""]",15.0,14.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-09e506e18b89dbd85c9b4161,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.8,6,8,14,8,2,1,"[""PP-7d64609d78fe178970622989""]",[2.0],[0.25],0.803,0.803,0.746,4.48,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,2,2,4,7,12,0.08,0.04,restricted_tested_stress_coverage,0.0,0.0774,0.263,0.342,0.43716,0.824,0.803,0.8135,0.26699999999999996,0.14956,0.04800000000000004,0.36392,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,[],15.0,13.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-ea727157ac063c776db25af3,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.8,8,8,16,8,0,7,"[""PP-024121f98bc450d2e25ba9d6"",""PP-3bfa75868c99d9b0f094fdfe"",""PP-494d25769e8d04fb1477d3be"",""PP-5422dd6554c8022315373597"",""PP-9320dca8146ee4392ff7ab4a"",""PP-a1130a67d6829c930c5f45c3"",""PP-b7b90eaa4eedaf62b627e1a0""]","[1.0,1.5,2.0]","[0.0,0.25,0.5]",0.809,0.898,0.743,5.944,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,9,9,4,2,10,0.36,0.28,restricted_tested_stress_coverage,0.0,0.2126,0.288,0.606,0.58556,0.963,0.809,0.913,0.04399999999999993,0.017079999999999998,0.04800000000000004,0.25528000000000006,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",15.0,6.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-613e84e39a5d41b0728fca09,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.8,8,10,18,10,2,2,"[""PP-3187de092b2abd6a4f549abc"",""PP-76f619572a498ed93df6b83f""]",[0.75],"[0.0,0.25]",0.839,0.839,0.741125,5.929,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,11,11,4,3,7,0.44,0.08,restricted_tested_stress_coverage,0.0,0.2202,0.296,0.642,0.5992799999999999,0.965,0.839,0.916,0.17600000000000005,0.06956,0.035,0.24911999999999998,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,[],15.0,4.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-79c405489a64294bca87ffb2,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.8,10,10,20,10,0,3,"[""PP-30e77937f5d98cbf066468d1"",""PP-51ad11c6532223eeeb48b967"",""PP-9645807ea9dc10d7f9d03a8f""]","[0.5,0.75]","[0.0,0.25,0.5]",0.802,0.805,0.745,7.45,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,14,14,4,0,7,0.56,0.12,majority_tested_stress_coverage,0.0,0.28240000000000004,0.316,0.805,0.6648000000000001,0.994,0.802,0.95,0.028000000000000025,0.012239999999999994,0.04200000000000004,0.20832,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",15.0,1.0,True,True,1.0,protocol_selected_for_preregistration_review,within_one_stress_cell_of_group_maximum; majority_coverage; lexicographically_best_under_frozen_rule,True
OF-a79731686e85a5f29621e700,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.8,12,12,24,12,0,1,"[""PP-00bce333414cbfe83bc3f9ad""]",[0.5],[0.5],0.811,0.811,0.7465,8.958,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,15,15,4,0,6,0.6,0.04,majority_tested_stress_coverage,0.0,0.2776,0.297,0.904,0.7025999999999999,1.0,0.811,0.977,0.03499999999999992,0.00959999999999999,0.04500000000000004,0.19028000000000006,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""coverage_anchor"",""partition_balance_anchor""]",15.0,0.0,True,True,2.0,pareto_near_maximum_not_protocol_selected,eligible_near_maximum_family_ranked_below_selected_family,False
OF-b131d0eb3f1508fae3a1728e,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.9,8,8,16,8,0,5,"[""PP-172e95950e7d352d3604e63d"",""PP-5cb59b7e7f2647fb568235b5"",""PP-858a51cf48ac1f6fd9dd966b"",""PP-b5f6dbe47b5ebf564f1d3153"",""PP-f1c3566cea197eef9083f127""]","[1.5,2.0]","[0.0,0.25,0.5]",0.913,0.948,0.7455,5.964,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,5,5,4,2,14,0.2,0.2,restricted_tested_stress_coverage,0.0,0.2126,0.288,0.606,0.58556,0.963,0.913,0.948,0.04399999999999993,0.017079999999999998,0.04800000000000004,0.32364000000000004,0.9,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""cost_anchor"",""partition_balance_anchor""]",13.0,8.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-278a8f327cec4c8ae6239327,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.9,8,10,18,10,2,2,"[""PP-5fdc45479e32024632149256"",""PP-8bcbe697218caed40e33d3a4""]",[1.0],"[0.0,0.25]",0.902,0.909,0.743,5.944,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,7,7,4,3,11,0.28,0.08,restricted_tested_stress_coverage,0.0,0.2202,0.296,0.642,0.5992799999999999,0.965,0.902,0.957,0.17600000000000005,0.06956,0.035,0.31204000000000004,0.9,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,[],13.0,6.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-5d72af7ad78c658c9621b65e,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.9,10,10,20,10,0,3,"[""PP-191bfe99a2e12e39a0f705e9"",""PP-c1171e363aa12bcabc09e264"",""PP-d6be7739d133ac9e5f3a14e9""]","[0.75,1.5]","[0.0,0.25,0.5]",0.936,0.938,0.7413000000000001,7.413,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,10,10,4,1,10,0.4,0.12,restricted_tested_stress_coverage,0.0,0.28240000000000004,0.316,0.805,0.6648000000000001,0.994,0.936,0.9724999999999999,0.028000000000000025,0.012239999999999994,0.04200000000000004,0.2626,0.9,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",13.0,3.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-a7fdc0177f08f4b2eb58c8c1,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.9,10,12,22,12,2,1,"[""PP-cb59b9bceb5556f194947e16""]",[1.0],[0.5],0.912,0.912,0.7470833333333333,7.474,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,11,11,4,2,8,0.44,0.04,restricted_tested_stress_coverage,0.0,0.2828,0.304,0.829,0.67204,0.996,0.912,0.976,0.14500000000000002,0.035920000000000014,0.04200000000000004,0.25872,0.9,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,[],13.0,2.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
