relation_id,obs,contract_family,contract_name,task,feature_contract,carrier_role,score,threshold,status,source_path,best_model,best_scheme,stratified_cv_best_ba,leave_object_out_best_ba,leave_cohort_out_best_ba,leave_transition_out_best_ba,ci_low,p_above_threshold,failure_rate,n_success,n_fail
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,all,C_vs_Cp3,stability_core_3,compact_core_carrier,0.9897959183673468,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,stratified_cv,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,adjacent_only,C_vs_Cp2,stability_core_3,compact_core_carrier,0.9875541125541124,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,all,C_vs_Cp2,stability_core_3,compact_core_carrier,0.9875541125541124,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,all_but_late,C_vs_Cp3,stability_core_3,compact_core_carrier,0.9848484848484848,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_transition_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,early,C_vs_Cp2,stability_core_3,compact_core_carrier,0.9772727272727272,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_transition_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,fine_to_mid,C_vs_Cp2,stability_core_3,compact_core_carrier,0.9772727272727272,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_transition_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080b,scale_band,mid_to_coarse,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.9722222222222222,0.75,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,tree_depth2,leave_object_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,early,C_vs_Cp3,stability_core_3,compact_core_carrier,0.9705882352941176,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,stratified_cv,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,fine_to_mid,C_vs_Cp3,stability_core_3,compact_core_carrier,0.9705882352941176,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,stratified_cv,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,all_but_late,C_vs_Cp2,stability_core_3,compact_core_carrier,0.9696969696969696,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_transition_out,,,,,,,,,
