record_id,relation,subclass,confirmation_eligible,partition,row_count,unique_clusters,class_cluster_counts_json,min_class_clusters,class_mapping_resolved,balance_pass,limitation
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,C1_contrast-limited,False,confirmation,53,4,"{""Cp2"": 3, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,C2_localization-limited,True,discovery,66,4,"{""Cp2"": 4, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,C2_localization-limited,True,confirmation,53,4,"{""Cp2"": 3, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,C2_localization-limited,True,discovery,66,4,"{""Cp2"": 4, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,C2_localization-limited,True,confirmation,53,4,"{""Cp2"": 3, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,C1_contrast-limited,False,discovery,66,4,"{""Cp2"": 4, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,C1_contrast-limited,False,confirmation,53,4,"{""Cp2"": 3, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,C2_localization-limited,True,discovery,66,4,"{""Cp2"": 4, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,C2_localization-limited,True,confirmation,53,4,"{""Cp2"": 3, ""Cp3"": 3}",3,True,True,
three_way__geometry_scores_only,three_way,C2_localization-limited,True,discovery,90,4,"{""C"": 4, ""Cp2"": 4, ""Cp3"": 3}",3,True,True,
three_way__geometry_scores_only,three_way,C2_localization-limited,True,confirmation,78,4,"{""C"": 4, ""Cp2"": 3, ""Cp3"": 3}",3,True,True,
three_way__no_window,three_way,C1_contrast-limited,False,discovery,90,4,"{""C"": 4, ""Cp2"": 4, ""Cp3"": 3}",3,True,True,
three_way__no_window,three_way,C1_contrast-limited,False,confirmation,78,4,"{""C"": 4, ""Cp2"": 3, ""Cp3"": 3}",3,True,True,
three_way__stability_plus_geometry,three_way,C2_localization-limited,True,discovery,90,4,"{""C"": 4, ""Cp2"": 4, ""Cp3"": 3}",3,True,True,
three_way__stability_plus_geometry,three_way,C2_localization-limited,True,confirmation,78,4,"{""C"": 4, ""Cp2"": 3, ""Cp3"": 3}",3,True,True,
three_way__strict_numeric_all,three_way,C1_contrast-limited,False,discovery,90,4,"{""C"": 4, ""Cp2"": 4, ""Cp3"": 3}",3,True,True,
three_way__strict_numeric_all,three_way,C1_contrast-limited,False,confirmation,78,4,"{""C"": 4, ""Cp2"": 3, ""Cp3"": 3}",3,True,True,
three_way__path_shares_only,three_way,C2_localization-limited,True,discovery,90,4,"{""C"": 4, ""Cp2"": 4, ""Cp3"": 3}",3,True,True,
three_way__path_shares_only,three_way,C2_localization-limited,True,confirmation,78,4,"{""C"": 4, ""Cp2"": 3, ""Cp3"": 3}",3,True,True,
three_way__stability_core_3,three_way,C2_localization-limited,True,discovery,90,4,"{""C"": 4, ""Cp2"": 4, ""Cp3"": 3}",3,True,True,
three_way__stability_core_3,three_way,C2_localization-limited,True,confirmation,78,4,"{""C"": 4, ""Cp2"": 3, ""Cp3"": 3}",3,True,True,
