address_id,partition,failure_predicate,component_role,record_id,control_family,cluster_id,object_contrast,site_rows,complement_rows,center_offset,centered_baseline_contrast,native_injection_scale
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,lazarus_concentration,,1,5,0.0,0.0,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,response_ridge,0.0,4,20,0.0,0.0,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,density_core,0.06309977131139682,3,15,-0.156494140625,3.3446266889392007e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,frobenius_ridge,0.025805812276380347,3,13,-0.156494140625,3.3446266889392007e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,lazarus_concentration,0.014503800925891541,2,8,-0.156494140625,3.3446266889392007e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,response_ridge,0.025805812276380347,3,13,-0.156494140625,3.3446266889392007e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,density_core,0.05862990584584926,3,15,-0.503082275390625,-1.7985348120252986e-06,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,frobenius_ridge,0.13930074854789165,3,13,-0.503082275390625,-1.7985348120252986e-06,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,lazarus_concentration,,1,3,-0.503082275390625,-1.7985348120252986e-06,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,response_ridge,0.13930074854789165,3,13,-0.503082275390625,-1.7985348120252986e-06,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,density_core,0.014709926708966425,2,10,-0.017181396484375,1.669948892502049e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,frobenius_ridge,-0.0038757168007228504,4,20,-0.017181396484375,1.669948892502049e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,lazarus_concentration,,1,5,-0.017181396484375,1.669948892502049e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,response_ridge,-0.0013652666239150069,4,20,-0.017181396484375,1.669948892502049e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,density_core,-0.00011701212012216189,2,10,-0.02349853515625,-4.268836429899281e-07,0.25
