failure_predicate,partition,simulator_id,address_id,replicates,null_mean_target_contrast,null_sd_target_contrast,baseline_object_scale,standardized_null_bias,finite_rate,range_violations,identity_violations
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,6474bf84525b5f8901e9c847,128,0.006676351186766156,0.09138218636065916,0.05,0.1335270237353231,0.6953125,0,0
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,7e1bf2a0d61851cecd7b6046,128,0.24600561054562253,0.18295037556040508,0.05,4.920112210912451,0.453125,0,0
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,128,0.14194359106149496,0.2594498643105779,0.05,2.838871821229899,0.9453125,0,0
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,c7bb703a3930eb4a7b9b0754,128,-0.021800196629704355,0.3771648683289766,0.05,0.4360039325940871,0.9140625,0,0
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,3c58f494c94b8761a568ded4,128,-0.00208942544627158,0.0021237597609449627,0.05,0.041788508925431594,1.0,0,0
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,61cef129ca8cc734e59e4f58,128,0.030739811631424384,0.028929398249657783,0.05,0.6147962326284876,1.0,0,0
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,6474bf84525b5f8901e9c847,128,-0.05892984736131468,0.21551197087063867,0.05,1.1785969472262936,1.0,0,0
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,7e1bf2a0d61851cecd7b6046,128,0.357445090123239,0.3667356013988446,0.05,7.1489018024647795,1.0,0,0
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,128,-0.04221648774048156,0.06914736512255101,0.05,0.8443297548096312,1.0,0,0
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,c7bb703a3930eb4a7b9b0754,128,-0.04373376175041355,0.49983594522064223,0.05,0.8746752350082709,1.0,0,0
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,3c58f494c94b8761a568ded4,128,-0.001996770836120542,0.0010853425893490357,0.05,0.039935416722410834,1.0,0,0
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,61cef129ca8cc734e59e4f58,128,0.023889276958505335,0.016594273942090225,0.05,0.4777855391701067,1.0,0,0
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,6474bf84525b5f8901e9c847,128,-0.1322368066187442,0.19998090314878997,0.05,2.644736132374884,1.0,0,0
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,7e1bf2a0d61851cecd7b6046,128,0.3841962407735088,0.2502766819232881,0.05,7.683924815470175,1.0,0,0
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,128,-0.011340604991890614,0.010627368474682812,0.05,0.22681209983781225,1.0,0,0
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,c7bb703a3930eb4a7b9b0754,128,-0.09581236326883368,0.3016716101487725,0.05,1.9162472653766733,1.0,0,0
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,3c58f494c94b8761a568ded4,128,0.0007496750173474908,0.0010251904986038926,0.05,0.014993500346949816,0.59375,0,0
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,61cef129ca8cc734e59e4f58,128,0.07014161692555251,0.12108249353903217,0.28745108343377573,0.2440123588600495,1.0,0,0
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,6474bf84525b5f8901e9c847,128,0.012088233104789122,0.05838108687116627,0.05,0.24176466209578243,0.9609375,0,0
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,7e1bf2a0d61851cecd7b6046,128,-0.0001190128680192275,0.08799074458209917,0.24197650762655934,0.0004918364563013664,0.9921875,0,0
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,128,-0.01387849041133153,0.01939092468656567,0.05,0.2775698082266306,0.734375,0,0
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,c7bb703a3930eb4a7b9b0754,128,-0.3686900114262738,0.46567487800668284,0.05,7.373800228525475,0.6484375,0,0
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,3c58f494c94b8761a568ded4,128,0.002641431489207866,0.0017714759704193718,0.05,0.05282862978415732,1.0,0,0
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,61cef129ca8cc734e59e4f58,128,0.023623633157762412,0.06671344634871576,0.28745108343377573,0.08218314182560711,1.0,0,0
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,6474bf84525b5f8901e9c847,128,0.09579872589840102,0.1873546018629019,0.05,1.9159745179680203,1.0,0,0
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,7e1bf2a0d61851cecd7b6046,128,0.1545291782429346,0.12675607996430877,0.24197650762655934,0.6386123171982399,1.0,0,0
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,128,-0.03851881361875959,0.038463571131145624,0.05,0.7703762723751918,1.0,0,0
