failure_predicate,partition,simulator_id,address_id,directionality_estimand,effect_levels,spearman_delta_target_response,monotonic_response_fraction,endpoint_target_response_change,minimum_finite_response_rate,spearman_delta_target_contrast,monotonic_contrast_fraction,endpoint_target_contrast_change,spearman_delta_target,monotonic_fraction,endpoint_target_change,minimum_finite_rate,effect_curve_json
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,cba4ba2ba78612dd885992ab,target_response_from_simulated_null,4,1.0,1.0,0.078125,1.0,0.7999999999999999,0.6666666666666666,0.07291666666666669,1.0,1.0,0.078125,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.2893880208333333,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.2822265625,""mean_target_response"":0.018229166666666664},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.32194010416666663,""mean_target_response"":0.03515625},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.3623046875,""mean_target_response"":0.078125}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,2089c8ead568c49eba0d317f,target_response_from_simulated_null,4,1.0,1.0,0.07734375,1.0,1.0,1.0,0.07578125000000002,1.0,1.0,0.07734375,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.05625,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.096875,""mean_target_response"":0.0484375},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.10625000000000001,""mean_target_response"":0.053125000000000006},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.13203125000000002,""mean_target_response"":0.07734375}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,2f394559fbe5789c99da9eda,target_response_from_simulated_null,4,0.7745966692414834,1.0,0.08333333333333333,1.0,0.7745966692414834,1.0,0.08333333333333333,0.7745966692414834,1.0,0.08333333333333333,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.027777777777777776,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.05555555555555555,""mean_target_response"":0.08333333333333333},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.05555555555555555,""mean_target_response"":0.08333333333333333},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.05555555555555555,""mean_target_response"":0.08333333333333333}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,63063743372cd08e7e4c4ed8,target_response_from_simulated_null,4,1.0,1.0,0.2755208333333333,1.0,1.0,1.0,0.2790625,1.0,1.0,0.2755208333333333,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.03772478070175438,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.1393046418128655,""mean_target_response"":0.09869791666666666},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.17986019736842104,""mean_target_response"":0.14505208333333333},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.3167872807017544,""mean_target_response"":0.2755208333333333}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,9a1b8537bb0aac4dd2f70530,target_response_from_simulated_null,4,0.19999999999999998,0.3333333333333333,0.046875,1.0,0.19999999999999998,0.3333333333333333,0.046875,0.19999999999999998,0.3333333333333333,0.046875,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.0,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.0578125,""mean_target_response"":0.0578125},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.05390625,""mean_target_response"":0.05390625},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.046875,""mean_target_response"":0.046875}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,a24a4754e3d139d456235b65,target_response_from_simulated_null,4,,1.0,0.0,1.0,0.0,0.3333333333333333,-0.00244140625,,1.0,0.0,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.0830078125,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.08902994791666666,""mean_target_response"":0.0},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.07535807291666667,""mean_target_response"":0.0},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.08544921875,""mean_target_response"":0.0}]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,cba4ba2ba78612dd885992ab,target_response_from_simulated_null,4,1.0,1.0,0.322265625,1.0,1.0,1.0,0.3649088541666667,1.0,1.0,0.322265625,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.08105468749999999,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.20768229166666663,""mean_target_response"":0.15299479166666666},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.23404947916666663,""mean_target_response"":0.16406249999999997},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.4459635416666667,""mean_target_response"":0.322265625}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,3c58f494c94b8761a568ded4,target_response_from_simulated_null,4,1.0,1.0,0.012687288968321372,0.4375,1.0,1.0,0.012653960383454902,1.0,1.0,0.012687288968321372,0.4375,"[{""delta"":0.0,""finite_rate"":0.4453125,""finite_response_rate"":0.4453125,""mean_target_contrast"":-0.0014962613512785041,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":0.4609375,""finite_response_rate"":0.4609375,""mean_target_contrast"":0.0013627339215443975,""mean_target_response"":0.0028953556885873144},{""delta"":0.5,""finite_rate"":0.4921875,""finite_response_rate"":0.4921875,""mean_target_contrast"":0.004372841046274423,""mean_target_response"":0.005968094447118169},{""delta"":1.0,""finite_rate"":0.4375,""finite_response_rate"":0.4375,""mean_target_contrast"":0.011157699032176397,""mean_target_response"":0.012687288968321372}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,61cef129ca8cc734e59e4f58,target_response_from_simulated_null,4,1.0,1.0,0.03528272782325529,1.0,1.0,1.0,0.03702189815254485,1.0,1.0,0.03528272782325529,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.0025038587214614542,""mean_target_response"":1.4094628242311558e-17},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.012521774159403098,""mean_target_response"":0.00854774210162224},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.023508943561393,""mean_target_response"":0.01623452801360313},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.03952575687400631,""mean_target_response"":0.035282727823255304}]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,6474bf84525b5f8901e9c847,target_response_from_simulated_null,4,1.0,1.0,0.03274047182515193,0.6484375,1.0,1.0,0.045941618758474245,1.0,1.0,0.03274047182515193,0.6484375,"[{""delta"":0.0,""finite_rate"":0.6953125,""finite_response_rate"":0.6953125,""mean_target_contrast"":0.006676351186766155,""mean_target_response"":-4.989766402809692e-18},{""delta"":0.25,""finite_rate"":0.6640625,""finite_response_rate"":0.6640625,""mean_target_contrast"":0.01942208035217983,""mean_target_response"":0.007399175247461068},{""delta"":0.5,""finite_rate"":0.65625,""finite_response_rate"":0.65625,""mean_target_contrast"":0.01955885125940652,""mean_target_response"":0.01420908044696163},{""delta"":1.0,""finite_rate"":0.6484375,""finite_response_rate"":0.6484375,""mean_target_contrast"":0.0526179699452404,""mean_target_response"":0.032740471825151926}]"
