failure_predicate,partition,simulator_id,address_id,omitted_cluster,full_mean_target_contrast,loo_mean_target_contrast,full_replicate_scale,standardized_loo_change,loo_replicates,loo_status,structural_target_estimable,structural_control_estimable_count,simulation_error_count,loo_successful
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,energy_ridge,0.5208333333333333,0.5588727678571429,0.15443749999999995,0.24630957198743605,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,seam_proxy,0.5208333333333333,0.5451388888888888,0.15443749999999995,0.15738117721120576,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,density_core,0.5480616605616605,,0.07059999999999991,,32,structurally_unavailable,False,0,0,False
measurement_missingness_concentration,discovery,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,frobenius_ridge,0.5480616605616605,0.5598814229249012,0.07059999999999991,0.1674187303575168,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,lazarus_concentration,0.5480616605616605,0.5005434782608695,0.07059999999999991,0.6730620722491647,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,response_ridge,0.5480616605616605,0.5198593073593074,0.07059999999999991,0.39946675924012925,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,density_core,0.5091145833333334,,0.0803075,,32,structurally_unavailable,False,0,0,False
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,frobenius_ridge,0.5091145833333334,0.5026633522727273,0.0803075,0.0803316136177328,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,lazarus_concentration,0.5091145833333334,0.5065696022727273,0.0803075,0.03169045307855527,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,response_ridge,0.5091145833333334,0.5229048295454545,0.0803075,0.17171803644891329,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,density_core,0.5380208333333334,,0.09266249999999983,,32,structurally_unavailable,False,0,0,False
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,frobenius_ridge,0.5380208333333334,0.5266335227272727,0.09266249999999983,0.12289017246524438,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,lazarus_concentration,0.5380208333333334,0.5470525568181819,0.09266249999999983,0.09746902452284908,32,estimable,True,4,0,True
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,response_ridge,0.5380208333333334,0.5221946022727273,0.09266249999999983,0.17079434572352492,32,estimable,True,4,0,True
